Running on Cartesius 

[1;31mtime	Thu Jan 15 03:23:06 CET 2015[0;39m
lshaped_10.m-P32	32	2100225	2094081	6710	54.496310	5.371718	49.052878	0.071714	28.885623	17.569601	2.597653
lshaped_10.m-P64	64	2100225	2094081	6710	53.799624	5.838387	47.885448	0.075789	22.749481	24.192651	0.943316
lshaped_2.m-P1	1	45	21	12	0.001636	0.001223	0.000402	0.000011	0.000088	0.000304	0.000010
lshaped_2.m-P2	2	45	21	12	0.003225	0.001493	0.001652	0.000080	0.000461	0.001187	0.000004
lshaped_3.m-P1	1	153	105	35	0.002956	0.001721	0.001220	0.000015	0.000441	0.000751	0.000027
lshaped_3.m-P2	2	153	105	35	0.006260	0.001776	0.004427	0.000057	0.001330	0.003075	0.000022
lshaped_3.m-P4	4	153	105	35	0.008345	0.002063	0.006217	0.000065	0.001817	0.004383	0.000017
lshaped_3.m-P8	8	153	105	35	0.012051	0.002312	0.009643	0.000096	0.002557	0.007040	0.000046
lshaped_4.m-P1	1	561	465	83	0.008270	0.003611	0.004631	0.000028	0.002406	0.002087	0.000138
lshaped_4.m-P2	2	561	465	83	0.013353	0.003392	0.009899	0.000062	0.003705	0.006093	0.000101
lshaped_4.m-P4	4	561	465	83	0.017747	0.003283	0.014379	0.000085	0.004994	0.009325	0.000060
lshaped_4.m-P8	8	561	465	84	0.025729	0.003707	0.021888	0.000134	0.006527	0.015295	0.000066
lshaped_4.m-P16	16	561	465	84	0.035437	0.003718	0.031556	0.000163	0.008449	0.023042	0.000065
lshaped_4.m-P32	32	561	465	84	0.234661	0.042807	0.191121	0.000733	0.049337	0.141722	0.000062
lshaped_5.m-P1	1	2145	1953	190	0.034071	0.010025	0.023966	0.000080	0.016579	0.006348	0.001039
lshaped_5.m-P2	2	2145	1953	189	0.040950	0.009032	0.031789	0.000129	0.016398	0.014758	0.000633
lshaped_5.m-P4	4	2145	1953	190	0.046081	0.008031	0.037889	0.000161	0.016033	0.021429	0.000427
lshaped_5.m-P8	8	2145	1953	189	0.061670	0.007743	0.053725	0.000202	0.018550	0.034938	0.000237
lshaped_5.m-P16	16	2145	1953	189	0.081826	0.007913	0.073634	0.000279	0.022084	0.051355	0.000195
lshaped_5.m-P32	32	2145	1953	189	0.573202	0.147847	0.424509	0.000846	0.109857	0.314463	0.000189
lshaped_5.m-P64	64	2145	1953	189	1.222980	0.648848	0.572993	0.001139	0.143848	0.429008	0.000137
lshaped_6.m-P1	1	8385	8001	394	0.208126	0.034161	0.173668	0.000297	0.132454	0.032174	0.009040
lshaped_6.m-P2	2	8385	8001	395	0.170658	0.028490	0.141749	0.000419	0.095199	0.042420	0.004129
lshaped_6.m-P4	4	8385	8001	395	0.156406	0.025079	0.130897	0.000430	0.076251	0.052041	0.002606
lshaped_6.m-P8	8	8385	8001	394	0.163833	0.023925	0.139439	0.000469	0.061261	0.076844	0.001334
lshaped_6.m-P16	16	8385	8001	394	0.199802	0.023818	0.175408	0.000576	0.062869	0.111704	0.000835
lshaped_6.m-P32	32	8385	8001	394	1.011799	0.169266	0.841379	0.001154	0.183883	0.656908	0.000588
lshaped_6.m-P64	64	8385	8001	394	1.825869	0.670623	1.153550	0.001696	0.243735	0.909276	0.000540
lshaped_7.m-P1	1	33153	32385	804	1.507841	0.132539	1.374056	0.001246	1.078353	0.210228	0.085475
lshaped_7.m-P2	2	33153	32385	803	0.982589	0.107757	0.873367	0.001465	0.664844	0.172985	0.035537
lshaped_7.m-P4	4	33153	32385	804	0.680859	0.092347	0.587250	0.001262	0.412680	0.154067	0.020503
